rid,date,away,home,gn,y_nrfi,nrfi_odds,yrfi_odds,pay_n,pay_y,imp_n,imp_y,vig,dev_n,dev_y,p_raw,p_live,lam,park
1134,2026-06-24,TEX,MIA,1,1,-165.0,125.0,0.6060606060606061,1.25,0.6226415094339622,0.4444444444444444,1.0670859538784065,0.5834970530451867,0.4165029469548134,0.494176416063309,0.479,0.7045,0.95
1135,2026-06-24,LAD,MIN,1,1,-120.0,-105.0,0.8333333333333334,0.9523809523809523,0.5454545454545454,0.5121951219512195,1.057649667405765,0.5157232704402516,0.48427672955974843,0.5673350832418174,0.5552,0.5668,0.97
1136,2026-06-24,MIL,CIN,1,1,105.0,-135.0,1.05,0.7407407407407407,0.4878048780487805,0.574468085106383,1.0622729631551635,0.4592085979482169,0.5407914020517831,0.4734147509771201,0.4772,0.7487,1.09
1137,2026-06-24,HOU,TOR,1,0,-110.0,-120.0,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.5454545454545454,1.0692640692640691,0.48987854251012153,0.5101214574898786,0.5219483965709605,0.5454,0.6507,1.01
1138,2026-06-24,SEA,PIT,1,0,-155.0,115.0,0.6451612903225806,1.15,0.6078431372549019,0.46511627906976744,1.0729594163246694,0.5665108372290693,0.43348916277093075,0.5059181607785583,0.4836,0.6817,0.96
1139,2026-06-24,ATL,SD,1,1,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5138149679698911,0.5343,0.6652,0.95
1140,2026-06-24,OAK,SF,1,1,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.4878506317937549,0.4774,0.7176,0.94
1141,2026-06-24,CHC,NYM,2,1,-125.0,-105.0,0.8,0.9523809523809523,0.5555555555555556,0.5121951219512195,1.067750677506775,0.5203045685279188,0.4796954314720812,0.47087606603522997,0.4772,0.753,0.96
1142,2026-06-24,ARI,STL,1,1,100.0,-130.0,1.0,0.7692307692307693,0.5,0.5652173913043478,1.0652173913043477,0.4693877551020409,0.5306122448979592,0.4228249651496074,0.4064,0.861,0.97
1143,2026-06-24,CHC,NYM,1,1,-135.0,105.0,0.7407407407407407,1.05,0.574468085106383,0.4878048780487805,1.0622729631551635,0.5407914020517831,0.4592085979482169,0.4735827270702583,0.4772,0.7474,0.96
1144,2026-06-25,KC,TB,1,0,-110.0,-120.0,0.9090909090909091,0.8333333333333334,0.5238095238095238,0.5454545454545454,1.0692640692640691,0.48987854251012153,0.5101214574898786,0.3038089982086863,0.3219,1.1911,0.93
1146,2026-06-25,NYY,BOS,1,0,-130.0,100.0,0.7692307692307693,1.0,0.5652173913043478,0.5,1.0652173913043477,0.5306122448979592,0.4693877551020409,0.5231955737134125,0.5479,0.6474,1.05
