season,date,game_pk,away,home,p_nrfi,fi_total_runs
2025,2025-08-31,776509,ARI,LAD,0.382014,2
2025,2025-08-31,776511,CHC,COL,0.355932,0
2025,2025-08-31,776513,SD,MIN,0.407364,0
2025,2025-09-01,776492,SF,COL,0.365944,1
2025,2025-09-03,776467,SF,COL,0.355932,0
2025,2025-09-05,776442,SD,COL,0.355932,0
2025,2025-09-07,776426,PHI,MIA,0.355932,4
2025,2025-09-13,776342,KC,PHI,0.376558,5
2025,2025-09-15,776311,PHI,LAD,0.355932,1
2025,2025-09-16,776298,NYY,MIN,0.374661,3
2025,2025-09-18,776270,MIA,COL,0.400875,0
2025,2025-09-19,776253,LAA,COL,0.355932,2
2025,2025-09-20,776257,NYY,BAL,0.404694,3
2025,2025-09-28,776148,NYM,MIA,0.400153,0
